product_code,fiscal_year,gross_price
A2918150104,2020,9.2172
A2918150104,2021,8.9514
A2918150104,2022,10.3002
A2918150105,2018,8.5540
A2918150105,2019,7.9601
A2918150105,2020,9.0206
A2918150105,2021,9.4650
A2918150105,2022,9.8071
A2918150106,2018,9.5093
A2918150106,2019,8.6429
A2918150106,2020,9.7651
A2918150106,2021,10.4188
A2918150106,2022,11.1728
A3018150201,2018,10.0629
A3018150201,2019,10.2907
A3018150201,2020,10.1318
A3018150201,2021,10.7955
A3018150201,2022,11.5340
A3018150202,2018,9.9546
A3018150202,2019,8.5191
A3018150202,2020,10.7548
A3018150202,2021,11.0524
A3018150202,2022,12.4838
A3018150203,2018,11.8215
A3018150203,2019,11.3781
A3018150203,2020,11.4191
A3018150203,2021,12.3739
A3018150203,2022,12.8363
A3019150204,2018,10.9748
A3019150204,2019,9.8846
A3019150204,2020,10.5568
A3019150204,2021,11.6011
A3019150204,2022,12.8300
A3019150205,2018,10.4114
A3019150205,2019,10.2095
A3019150205,2020,11.4364
A3019150205,2021,12.0509
A3019150205,2022,12.2334
A3019150206,2018,12.2966
A3019150206,2019,11.6773
A3019150206,2020,12.8819
A3019150206,2021,13.0018
A3019150206,2022,14.3065
A3119150301,2019,12.2524
A3119150301,2020,12.9355
A3119150301,2021,13.5061
A3119150301,2022,14.2861
A3119150302,2019,11.3919
A3119150302,2020,14.0538
A3119150302,2021,15.3071
A3119150302,2022,15.6578
A3119150303,2019,11.9158
A3119150303,2020,14.8815
A3119150303,2021,16.2407
A3119150303,2022,16.6577
A3120150304,2019,12.5841
A3120150304,2020,14.0641
A3120150304,2021,16.3792
A3120150304,2022,17.2113
A3120150305,2019,14.7624
A3120150305,2020,16.1161
A3120150305,2021,16.3218
A3120150305,2022,16.8988
A3120150306,2019,15.3904
A3120150306,2020,16.6688
A3120150306,2021,19.3003
A3120150306,2022,18.1428
A3220150401,2019,15.0206
A3220150401,2020,16.3836
A3220150401,2021,18.4943
A3220150401,2022,18.9946
A3220150402,2019,16.0981
A3220150402,2020,19.5757
A3220150402,2021,18.7947
A3220150402,2022,21.2328
A3220150403,2020,18.6726
A3220150403,2021,18.5844
A3220150403,2022,20.0617
A3220150404,2020,18.2513
A3220150404,2021,18.4219
A3220150404,2022,21.3932
A3220150405,2020,18.1401
A3220150405,2021,18.9415
A3220150405,2022,21.2330
A3220150406,2020,19.4804
A3220150406,2021,20.0066
A3220150406,2022,21.2152
A3320150501,2020,18.1790
A3320150501,2021,20.3908
A3320150501,2022,20.9348
A3320150502,2020,20.9546
A3320150502,2021,21.6988
A3320150502,2022,22.2424
A3320150503,2020,18.8626
A3320150503,2021,20.8733
A3320150503,2022,22.9333
A3320150504,2020,21.1391
A3320150504,2021,22.1341
A3320150504,2022,22.6443
A3320150505,2021,23.0844
A3320150505,2022,23.5797
A3320150506,2021,23.7678
A3320150506,2022,24.6012
A3420150601,2021,24.5690
A3420150601,2022,26.7691
A3420150602,2021,23.9726
A3420150602,2022,26.6722
A3421150603,2021,26.9507
A3421150603,2022,25.8214
A3421150604,2021,27.4152
A3421150604,2022,29.2567
A3421150605,2021,29.8692
A3421150605,2022,31.2151
A3421150606,2021,29.6709
A3421150606,2022,31.7797
A3521150701,2021,29.3872
A3521150701,2022,32.5995
A3521150702,2021,30.3414
A3521150702,2022,31.0668
A3521150703,2021,31.7665
A3521150703,2022,34.7948
A3521150704,2021,33.6246
A3521150704,2022,34.2684
A3521150705,2021,34.5114
A3521150705,2022,34.1840
A3521150706,2022,36.0347
A3621150801,2022,38.6889
A3621150802,2022,35.7337
A3621150803,2022,41.2801
A3621150804,2022,36.5574
A3621150805,2022,37.1048
A3621150806,2022,40.2939
A3718150101,2018,14.8373
A3718150101,2019,13.5836
A3718150101,2020,15.4679
A3718150101,2021,16.5127
A3718150101,2022,17.5588
A3718150102,2018,15.1965
A3718150102,2019,15.5216
A3718150102,2020,16.6587
A3718150102,2021,16.1015
A3718150102,2022,17.5896
A3718150103,2018,15.5279
A3718150103,2019,14.8738
A3718150103,2020,16.2027
A3718150103,2021,17.5697
A3718150103,2022,17.9197
A3718150104,2018,16.2396
A3718150104,2019,13.9861
A3718150104,2020,16.6713
A3718150105,2018,15.0771
A3718150105,2019,14.1616
A3718150105,2020,16.9522
A3718150105,2021,18.0312
A3718150105,2022,17.5920
A3818150201,2018,14.2530
A3818150201,2019,13.8166
A3818150201,2020,16.0551
A3818150201,2021,17.2648
A3818150201,2022,18.1091
A3818150202,2018,16.3085
A3818150202,2019,17.1932
A3818150202,2020,16.5828
A3818150202,2021,17.5197
A3818150202,2022,18.5331
A3819150203,2019,14.9939
A3819150203,2020,17.0648
A3819150203,2021,18.4533
A3819150203,2022,20.4602
A3819150204,2019,18.0584
A3819150204,2020,18.8824
A3819150204,2021,21.1942
A3819150205,2019,18.1524
A3819150205,2020,19.6220
A3819150205,2021,21.6066
A3819150205,2022,23.7694
A3920150301,2020,20.7513
A3920150301,2021,22.1454
A3920150301,2022,23.4593
A3920150302,2020,22.3948
A3920150302,2021,23.1520
A3920150302,2022,24.1884
A3920150303,2020,23.0298
A3920150303,2021,25.4670
A3920150303,2022,25.8054
A3920150304,2020,25.2923
A3920150304,2021,25.0442
A3920150305,2020,25.7120
A3920150305,2021,27.4546
A3920150305,2022,28.8775
A4020150401,2020,25.0815
A4020150401,2021,26.9302
A4020150401,2022,29.6179
A4020150402,2020,24.7483
A4020150402,2021,28.4500
A4020150402,2022,29.4337
A4021150403,2021,29.9423
A4021150403,2022,30.1640
A4021150404,2021,28.5800
A4021150404,2022,32.2424
A4021150405,2021,31.7029
A4021150405,2022,31.4889
A4118110101,2018,134.3391
A4118110101,2019,132.3724
A4118110101,2020,154.0148
A4118110102,2018,150.3619
A4118110102,2019,151.5574
A4118110102,2020,172.9702
A4118110103,2018,152.0548
A4118110103,2019,145.5372
A4118110103,2020,155.1157
A4118110104,2018,179.0713
A4118110104,2019,160.1282
A4118110104,2020,170.2798
A4118110105,2018,160.8792
A4118110105,2019,155.8812
A4118110105,2020,179.2448
A4118110105,2021,182.8932
A4118110105,2022,186.7438
A4118110106,2018,160.6960
A4118110106,2019,155.7262
A4118110106,2020,164.6593
A4118110106,2021,187.7533
A4118110106,2022,180.1529
A4118110107,2018,151.7050
A4118110107,2019,157.8368
A4118110107,2020,182.4194
A4118110107,2021,195.7721
A4118110107,2022,200.9967
A4218110201,2018,169.6995
A4218110201,2019,155.8899
A4218110201,2020,182.2427
A4218110201,2021,200.2732
A4218110201,2022,199.1197
A4218110202,2018,178.6515
A4218110202,2019,186.2963
A4218110202,2020,214.0228
A4218110202,2021,215.9341
A4218110202,2022,229.3728
A4218110203,2018,188.1041
A4218110203,2019,173.7689
A4218110203,2020,206.9644
A4218110203,2021,236.8486
A4218110203,2022,249.9859
A4218110204,2018,218.6216
A4218110204,2019,212.0630
A4218110204,2020,225.6933
A4218110204,2021,232.1038
A4218110204,2022,247.9097
A4218110205,2018,216.7417
A4218110205,2019,203.7660
A4218110205,2020,241.4048
A4218110205,2021,240.1403
A4218110205,2022,249.4914
A4218110206,2019,207.4623
A4218110206,2020,224.1823
A4218110206,2021,237.0183
A4218110206,2022,254.6505
A4218110207,2019,198.6216
A4218110207,2020,219.3972
A4218110207,2021,249.1303
A4218110207,2022,254.7062
A4218110208,2019,194.3987
A4218110208,2020,217.1334
A4218110208,2021,243.0414
A4218110208,2022,269.2106
A4318110301,2019,217.7112
A4318110301,2020,250.7311
A4318110301,2021,264.7000
A4318110301,2022,275.1377
A4319110302,2019,198.1168
A4319110302,2020,227.5638
A4319110302,2021,267.2091
A4319110302,2022,272.3082
A4319110303,2019,193.4498
A4319110303,2020,241.4135
A4319110303,2021,261.2305
A4319110303,2022,285.1810
A4319110304,2019,211.9411
A4319110304,2020,243.9734
A4319110304,2021,267.0636
A4319110304,2022,279.5370
A4319110305,2019,226.7356
A4319110305,2020,249.6999
A4319110305,2021,277.8079
A4319110305,2022,297.8441
A4319110306,2019,213.2268
A4319110306,2020,252.9850
A4319110306,2021,275.8194
A4319110306,2022,275.4291
A4419110401,2019,219.0032
A4419110401,2020,258.2179
A4419110401,2021,271.3471
A4419110401,2022,294.3112
A4419110402,2019,234.5086
A4419110402,2020,270.5573
A4419110402,2021,281.9504
A4419110402,2022,309.5463
A4419110403,2019,234.7982
A4419110403,2020,267.8653
A4419110403,2021,288.0503
A4419110403,2022,298.8889
A4419110404,2020,284.8810
A4419110404,2021,286.8973
A4419110404,2022,319.8354
A4419110405,2020,299.4172
A4419110405,2021,291.2071
A4419110405,2022,321.1314
A4419110406,2020,281.2664
A4419110406,2021,287.5666
A4419110406,2022,301.3344
A4419110407,2020,272.4850
A4419110407,2021,287.4934
A4419110407,2022,327.6938
A4419110408,2020,298.6129
A4419110408,2021,297.0277
A4419110408,2022,334.8519
A4519110501,2020,301.4670
A4519110501,2021,311.8396
A4519110501,2022,331.9323
A4519110502,2020,296.9288
A4519110502,2021,300.3378
A4519110502,2022,330.1661
A4519110503,2020,287.9833
A4519110503,2021,306.9189
A4519110503,2022,338.7865
A4520110504,2020,310.0885
A4520110504,2021,341.7343
A4520110504,2022,353.6840
A4520110505,2021,325.2156
A4520110505,2022,330.8280
A4520110506,2021,325.2561
A4520110506,2022,375.8694
A4520110507,2021,322.9426
A4520110507,2022,359.4757
A4520110508,2021,327.0930
A4520110508,2022,364.1450
A4620110601,2021,347.2474
A4620110601,2022,346.4184
A4620110602,2021,346.6886
A4620110602,2022,368.1202
A4620110603,2021,366.0459
A4620110603,2022,378.6195
A4620110604,2021,353.0982
A4620110604,2022,361.1050
A4620110605,2021,349.2525
A4620110605,2022,403.2148
A4620110606,2021,348.5375
A4620110606,2022,352.9651
A4620110607,2021,347.8030
A4620110607,2022,401.0301
A4620110608,2021,363.0630
A4620110608,2022,370.6679
A4720110701,2021,367.7335
A4720110701,2022,414.9311
A4720110702,2021,371.4027
A4720110702,2022,396.5820
A4721110703,2021,361.6496
A4721110703,2022,422.0133
A4721110704,2021,380.2153
A4721110704,2022,374.1890
A4721110705,2021,377.4069
A4721110705,2022,391.0368
A4721110706,2022,378.2094
A4721110707,2022,393.1400
A4721110708,2022,398.1255
A4821110801,2022,411.3090
A4821110802,2022,417.3259
A4821110803,2022,427.7607
A4821110804,2022,433.6268
A4821110805,2022,431.3687
A4821110806,2022,452.9789
A4821110807,2022,446.0366
A4821110808,2022,460.5540
A4918110101,2018,362.8123
A4918110101,2019,354.4150
A4918110101,2020,414.0527
A4918110101,2021,419.1936
A4918110101,2022,454.0007
A4918110102,2018,377.9958
A4918110102,2019,358.5876
A4918110102,2020,410.7825
A4918110102,2021,451.4881
A4918110102,2022,488.4622
A4918110103,2018,382.5280
A4918110103,2019,363.6566
A4918110103,2020,404.5499
A4918110103,2021,428.1451
A4918110103,2022,477.8976
A4918110104,2018,407.4077
A4918110104,2019,381.4794
A4918110104,2020,442.7747
A4918110104,2021,460.2805
A4918110104,2022,455.0545
A5018110201,2018,395.5787
A5018110201,2019,368.0411
A5018110201,2020,448.4344
A5018110201,2021,451.7049
A5018110201,2022,463.1570
A5018110202,2018,413.1084
A5018110202,2019,412.7582
A5018110202,2020,460.2120
A5018110202,2021,462.5568
A5018110202,2022,438.4616
A5018110203,2018,409.7719
A5018110203,2019,371.6314
A5018110203,2020,429.9140
A5018110203,2021,452.1420
A5018110203,2022,476.5341
A5018110204,2018,389.9866
A5018110204,2019,364.5204
A5018110204,2020,423.8962
A5018110204,2021,447.7337
A5018110204,2022,489.4859
A5018110205,2019,401.3629
A5018110205,2020,445.7859
A5018110205,2021,486.1763
A5018110205,2022,468.7110
A5018110206,2019,365.3942
A5018110206,2020,419.1448
A5018110206,2021,475.5544
A5018110206,2022,482.2904
A5018110207,2019,396.3206
A5018110207,2020,434.3492
A5018110207,2021,475.1904
A5018110207,2022,532.1954
A5019110208,2019,367.4750
A5019110208,2020,422.5003
A5019110208,2021,467.3047
A5019110208,2022,499.2907
A5119110301,2019,396.6661
A5119110301,2020,447.8328
A5119110301,2021,479.0441
A5119110301,2022,504.4033
A5119110302,2019,407.1738
A5119110302,2020,429.4731
A5119110302,2021,474.3132
A5119110302,2022,473.8250
A5119110303,2019,418.8955
A5119110303,2020,435.3706
A5119110303,2021,474.3154
A5119110303,2022,514.2513
A5119110304,2019,446.8840
A5119110304,2020,450.3517
A5119110305,2020,455.3407
A5119110305,2021,483.3813
A5119110305,2022,529.9028
A5119110306,2020,487.0934
A5119110306,2021,486.4857
A5119110306,2022,556.4849
A5119110307,2020,506.2689
A5119110307,2021,516.4580
A5119110307,2022,551.7680
A5119110308,2020,502.7354
A5119110308,2021,512.5811
A5119110308,2022,512.3217
A5219110401,2020,502.3724
A5219110401,2021,506.9644
A5219110401,2022,537.3272
A5219110402,2020,456.1586
A5219110402,2021,490.1582
A5219110402,2022,573.2411
A5219110403,2020,473.8973
A5219110403,2021,525.8042
A5219110403,2022,549.9799
A5219110404,2020,477.9453
A5219110405,2020,523.6100
A5219110405,2021,521.2603
A5219110405,2022,526.8776
A5219110406,2020,492.9352
A5219110406,2021,550.4597
A5219110406,2022,528.1393
A5219110407,2021,545.5931
A5219110407,2022,572.6359
A5220110408,2021,533.0397
A5220110408,2022,615.5623
A5318110101,2018,503.2078
A5318110101,2019,488.6603
A5318110101,2020,564.6156
A5318110102,2018,492.1649
A5318110102,2019,469.5957
A5318110102,2020,527.0097
A5318110103,2018,471.8502
A5318110103,2019,459.9828
A5318110103,2020,514.3688
A5318110103,2021,584.9722
A5318110103,2022,588.5574
A5318110104,2018,496.9130
A5318110104,2019,478.5589
A5318110104,2020,521.9562
A5318110104,2021,586.3824
A5318110104,2022,594.9907
A5318110105,2018,518.9729
A5318110105,2019,503.8934
A5318110105,2020,545.0863
A5318110105,2021,551.3303
A5318110105,2022,601.6396
A5318110106,2018,501.8961
A5318110106,2019,461.6502
A5318110106,2020,520.4234
A5318110106,2021,565.8747
A5318110106,2022,580.1331
A5318110107,2018,527.6249
A5318110107,2019,469.5085
A5318110107,2020,581.6294
A5318110107,2021,571.6489
A5318110107,2022,600.4034
A5318110108,2018,508.5042
A5318110108,2019,458.2562
A5318110108,2020,555.7164
A5318110108,2021,579.6609
A5318110108,2022,579.7842
A5419110201,2018,476.7233
A5419110201,2019,449.7209
A5419110201,2020,556.8804
A5419110201,2021,585.0003
A5419110201,2022,611.7302
A5419110202,2018,508.1890
A5419110202,2019,488.0803
A5419110202,2020,551.0983
A5419110202,2021,567.9271
A5419110202,2022,591.9892
A5419110203,2018,513.4140
A5419110203,2019,454.2850
A5419110203,2020,554.6274
A5419110203,2021,595.5711
A5419110203,2022,643.4777
A5419110204,2018,528.3425
A5419110204,2019,473.1753
A5419110204,2020,573.7665
A5419110204,2021,602.9200
A5419110204,2022,642.8538
A5419110205,2018,531.8450
A5419110205,2019,485.0781
A5419110205,2020,591.8599
A5419110205,2021,570.7578
A5419110205,2022,605.1511
A5419110206,2019,514.3609
A5419110206,2020,548.9012
A5419110206,2021,601.6398
A5419110206,2022,632.8831
A5419110207,2019,504.2132
A5419110207,2020,592.2589
A5419110207,2021,599.2302
A5419110207,2022,614.9403
A5419110208,2019,460.4022
A5419110208,2020,570.8426
A5419110208,2021,608.4070
A5419110208,2022,662.7099
A5519110301,2019,477.9302
A5519110301,2020,564.7649
A5519110301,2021,589.7411
A5519110301,2022,641.9274
A5519110302,2019,541.0798
A5519110302,2020,578.0696
A5519110302,2021,605.8642
A5519110303,2019,548.8955
A5519110303,2020,526.3266
A5519110303,2021,604.2721
A5519110304,2019,532.1219
A5519110304,2020,612.6344
A5519110304,2021,597.7704
A5520110305,2019,597.7958
A5520110305,2020,579.8901
A5520110305,2021,632.4885
A5520110305,2022,663.8415
A5520110306,2019,531.4377
A5520110306,2020,601.3269
A5520110306,2021,639.6816
A5520110306,2022,692.3106
A5520110307,2019,485.5712
A5520110307,2020,576.5295
A5520110307,2021,609.7926
A5520110307,2022,661.1468
A5520110308,2019,497.3676
A5520110308,2020,576.4593
A5520110308,2021,590.1159
A5520110308,2022,649.4478
A5620110401,2019,551.6087
A5620110401,2020,614.8923
A5620110401,2021,642.0698
